Tue Aug 29 17:02:38 2023    profile.bin

         22007397 function calls (22007369 primitive calls) in 10.037 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:304(simplex_tolerances_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:312(simplex_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:327(tune_members)
        1    0.000    0.000    0.003    0.003 _parameter_hierarchy.py:337(root_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:43(benders_tolerances_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:50(benders_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:58(conflict_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:65(distmip_rampup_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:73(distmip_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:79(emphasis_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:87(feasopt_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:94(mip_cuts_members)
   140856    0.485    0.000    1.513    0.000 _procedural.py:1052(addrows)
   140856    0.069    0.000    0.070    0.000 _procedural.py:1058(<listcomp>)
        1    0.000    0.000    0.000    0.000 _procedural.py:151(setpyterminate)
        1    0.000    0.000    0.000    0.000 _procedural.py:1673(chgobjsen)
        1    0.000    0.000    0.000    0.000 _procedural.py:1689(chgobjoffset)
        1    0.000    0.000    0.000    0.000 _procedural.py:216(pack_env_lp_ptr)
   281712    0.125    0.000    0.476    0.000 _procedural.py:220(chbmatrix)
   140856    0.049    0.000    0.274    0.000 _procedural.py:231(Pylolmat_to_CHBmat)
   140856    0.038    0.000    0.078    0.000 _procedural.py:235(free_CHBmat)
   142613    0.058    0.000    0.058    0.000 _procedural.py:279(__call__)
        1    0.000    0.000    0.000    0.000 _procedural.py:309(set_status_checker)
        2    0.000    0.000    0.000    0.000 _procedural.py:315(version)
   220237    0.128    0.000    0.219    0.000 _procedural.py:32(cpx_decode)
        1    0.000    0.000    0.000    0.000 _procedural.py:325(openCPLEX)
        1    0.000    0.000    0.000    0.000 _procedural.py:3253(initlock)
       12    0.000    0.000    0.000    0.000 _procedural.py:339(getchannels)
        8    0.000    0.000    0.000    0.000 _procedural.py:349(addfuncdest)
        4    0.000    0.000    0.000    0.000 _procedural.py:354(delfuncdest)
        2    0.000    0.000    0.000    0.000 _procedural.py:426(setintparam)
        1    0.000    0.000    0.000    0.000 _procedural.py:441(setstrparam)
        1    0.000    0.000    0.000    0.000 _procedural.py:45(cpx_decode_noop3)
      111    0.000    0.000    0.001    0.000 _procedural.py:474(infointparam)
       22    0.000    0.000    0.000    0.000 _procedural.py:483(infolongparam)
       41    0.000    0.000    0.000    0.000 _procedural.py:492(infodblparam)
        4    0.000    0.000    0.000    0.000 _procedural.py:501(infostrparam)
        2    0.000    0.000    0.000    0.000 _procedural.py:580(fixparam)
        1    0.000    0.000    0.000    0.000 _procedural.py:594(createprob)
     1546    0.001    0.000    0.002    0.000 _procedural.py:791(getnumcols)
   281712    0.073    0.000    0.134    0.000 _procedural.py:811(getnumrows)
     1546    0.011    0.000    0.099    0.000 _procedural.py:904(newcols)
     1546    0.010    0.000    0.058    0.000 _procedural.py:912(<listcomp>)
        1    0.000    0.000    0.000    0.000 _pwl.py:34(__init__)
      335    0.000    0.000    0.000    0.000 _pycplex.py:3005(<lambda>)
      335    0.000    0.000    0.000    0.000 _pycplex.py:3007(<lambda>)
      335    0.000    0.000    0.001    0.000 _pycplex.py:3009(__init__)
      335    0.000    0.000    0.000    0.000 _pycplex.py:3014(<lambda>)
      335    0.000    0.000    0.000    0.000 _pycplex.py:3016(value)
       66    0.000    0.000    0.000    0.000 _pycplex.py:3029(<lambda>)
       66    0.000    0.000    0.000    0.000 _pycplex.py:3031(<lambda>)
       66    0.000    0.000    0.000    0.000 _pycplex.py:3033(__init__)
       66    0.000    0.000    0.000    0.000 _pycplex.py:3038(<lambda>)
       66    0.000    0.000    0.000    0.000 _pycplex.py:3040(value)
      123    0.000    0.000    0.000    0.000 _pycplex.py:3053(<lambda>)
      123    0.000    0.000    0.000    0.000 _pycplex.py:3055(<lambda>)
      123    0.000    0.000    0.000    0.000 _pycplex.py:3057(__init__)
      123    0.000    0.000    0.000    0.000 _pycplex.py:3062(<lambda>)
      123    0.000    0.000    0.000    0.000 _pycplex.py:3064(value)
       48    0.000    0.000    0.000    0.000 _pycplex.py:3125(<lambda>)
       48    0.000    0.000    0.000    0.000 _pycplex.py:3127(<lambda>)
       48    0.000    0.000    0.000    0.000 _pycplex.py:3129(__init__)
       48    0.000    0.000    0.000    0.000 _pycplex.py:3134(<lambda>)
       48    0.000    0.000    0.000    0.000 _pycplex.py:3136(value)
      572    0.000    0.000    0.000    0.000 _pycplex.py:37(_swig_setattr_nondynamic)
      572    0.000    0.000    0.000    0.000 _pycplex.py:50(_swig_setattr)
      572    0.000    0.000    0.000    0.000 _pycplex.py:53(_swig_getattr)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:1011(__init__)
       27    0.000    0.000    0.000    0.000 _subinterfaces.py:118(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:1229(__init__)
   281712    0.137    0.000    0.271    0.000 _subinterfaces.py:1241(get_num)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:190(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:1999(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:2625(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:3177(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:3525(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:373(__init__)
     1546    0.001    0.000    0.003    0.000 _subinterfaces.py:385(get_num)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:4171(set_sense)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:4426(set_offset)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:4444(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:4669(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:4910(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:5076(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:5232(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:5418(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:6339(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:6722(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:7472(__init__)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:8838(__init__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
   383597    0.112    0.000    0.112    0.000 _weakrefset.py:70(__contains__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
   334932    0.156    0.000    0.268    0.000 abc.py:178(__instancecheck__)
       11    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
      242    0.001    0.000    0.032    0.000 aggregator.py:196(sum)
      242    0.009    0.000    0.029    0.000 aggregator.py:215(_sum_with_iter)
        1    0.000    0.000    0.000    0.000 aggregator.py:23(__init__)
      242    0.001    0.000    0.030    0.000 aggregator.py:294(_sum_with_seq)
      242    0.000    0.000    0.000    0.000 aggregator.py:30(_term_dict_type)
      242    0.000    0.000    0.001    0.000 aggregator.py:37(_to_expr)
        1    0.000    0.000    0.000    0.000 arrayprint.py:259(get_printoptions)
        1    0.000    0.000    0.000    0.000 arrayprint.py:60(_make_options_dict)
        1    0.000    0.000    0.000    0.000 arrayprint.py:65(<dictcomp>)
